Row Labels,Sreg_amph,Sreg_birds,Sreg_mamm,Send_mam,Send_bird,Send_amph
AA0101,5,118,19,2,5,3
AA0102,4,234,35,5,19,1
AA0103,6,126,30,4,8,1
AA0104,4,191,25,0,15,0
AA0105,157,526,173,9,5,37
AA0106,12,233,45,7,28,7
AA0107,41,423,91,0,0,5
AA0108,26,205,44,0,0,10
AA0109,0,81,1,0,0,0
AA0110,18,183,22,0,0,4
AA0111,20,263,51,0,4,0
AA0112,23,201,45,0,2,3
AA0113,0,132,6,1,6,0
AA0114,0,46,1,0,1,0
AA0115,85,470,131,0,1,8
AA0116,53,406,84,7,2,5
AA0117,69,410,106,3,0,13
AA0118,7,215,47,7,21,0
AA0119,27,248,39,9,28,11
AA0120,97,524,144,8,3,32
AA0121,48,467,128,0,0,0
AA0122,67,485,138,0,1,5
AA0123,26,376,130,10,20,3
AA0124,22,294,131,25,17,2
AA0125,25,171,37,2,1,3
AA0126,0,124,10,1,6,0
AA0127,52,409,65,5,9,5
AA0128,65,461,88,1,4,9
AA0201,15,292,63,7,19,6
AA0202,0,122,5,0,0,0
AA0203,4,202,20,0,9,0
AA0204,8,250,39,4,27,0
AA0401,0,76,0,0,0,0
AA0402,74,458,91,3,2,21
AA0403,0,116,2,0,0,0
AA0404,0,131,2,0,0,0
AA0405,2,142,2,0,0,0
AA0406,2,148,2,0,0,0
AA0407,0,105,2,0,0,0
AA0408,1,135,1,0,0,0
AA0409,54,429,72,1,0,1
AA0410,0,121,1,0,0,0
AA0411,9,214,33,0,0,0
AA0412,9,227,33,0,0,0
AA0413,11,223,33,0,0,1
AA0414,0,114,1,0,0,0
AA0701,29,290,65,5,3,4
AA0702,59,463,109,1,0,1
AA0703,34,371,77,3,0,6
AA0704,37,376,90,1,0,0
AA0705,51,388,108,0,0,1
AA0706,46,332,82,5,1,8
AA0707,41,325,88,1,1,0
AA0708,22,336,61,1,0,1
AA0709,36,267,58,0,0,0
AA0801,0,127,1,0,0,0
AA0802,22,273,47,0,0,0
AA0803,39,350,69,0,0,0
AA1001,31,285,47,0,0,1
AA1002,109,403,137,3,4,4
AA1003,0,77,2,0,0,0
AA1101,0,103,0,0,1,0
AA1201,13,253,31,0,0,0
AA1202,18,277,39,2,0,0
AA1203,8,323,36,0,0,0
AA1204,16,245,25,0,0,4
AA1205,18,278,30,0,0,1
AA1206,10,338,37,1,0,0
AA1207,25,329,64,0,2,0
AA1208,13,351,48,0,0,0
AA1209,22,288,50,0,0,0
AA1210,23,276,39,0,0,1
AA1301,13,271,51,0,0,1
AA1302,12,206,41,1,0,0
AA1303,5,147,31,0,0,0
AA1304,23,273,60,0,0,1
AA1305,7,230,41,0,0,0
AA1306,3,218,28,0,0,0
AA1307,11,243,52,0,0,1
AA1308,24,270,53,1,1,0
